"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Stückpreis inkl. MwSt";"Rabatt";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 09:33:14";"2025-04-01 09:37:22";"0357683A-64C6-4E07-88FA-0FA5B5F5F272";"EUR";"Flat White";"";"1";"";"4,00";"0,00";"4,00";"3,74";"0,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 09:38:34";"2025-04-01 09:40:50";"7649BFC3-26B9-4FDA-A2A5-C2595248A51A";"EUR";"Croissant plain";"";"1";"";"2,70";"0,00";"2,70";"2,52";"0,18"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 09:38:34";"2025-04-01 09:40:50";"7649BFC3-26B9-4FDA-A2A5-C2595248A51A";"EUR";"Flat White";"";"1";"";"4,00";"0,00";"4,00";"3,74";"0,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 09:59:58";"2025-04-01 10:01:13";"42BC32F5-0328-41F5-8788-BFFE95F6316A";"EUR";"Franzbrötchen";"";"1";"";"2,90";"0,00";"2,90";"2,71";"0,19"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 09:59:58";"2025-04-01 10:01:13";"42BC32F5-0328-41F5-8788-BFFE95F6316A";"EUR";"Iced Latte";"";"1";"";"4,60";"0,00";"4,60";"4,60";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:03:48";"2025-04-01 10:05:39";"ABEB4484-6FBB-47C9-8318-0FEA70362EFB";"EUR";"Cortado";"";"1";"";"3,80";"0,00";"3,80";"3,55";"0,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:03:48";"2025-04-01 10:05:39";"ABEB4484-6FBB-47C9-8318-0FEA70362EFB";"EUR";"Espresso";"";"1";"";"3,50";"0,00";"3,50";"2,94";"0,56"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:03:48";"2025-04-01 10:05:39";"ABEB4484-6FBB-47C9-8318-0FEA70362EFB";"EUR";"Pastel de Nata";"";"3";"";"2,70";"0,00";"8,10";"7,56";"0,54"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:13:41";"2025-04-01 10:16:25";"78042CF4-59D0-4B7F-9EF7-34B82BB22AE7";"EUR";"Flat White";"";"4";"";"4,00";"0,00";"16,00";"14,95";"1,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:22:49";"2025-04-01 10:24:12";"58777525-08A6-486B-A9CF-DBD4D04C4520";"EUR";"Flat White";"";"2";"";"4,00";"0,00";"8,00";"7,48";"0,52"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:22:49";"2025-04-01 10:24:12";"58777525-08A6-486B-A9CF-DBD4D04C4520";"EUR";"Pastel de Nata";"";"1";"";"2,70";"0,00";"2,70";"2,52";"0,18"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:29:31";"2025-04-01 10:30:36";"B2D9E03A-6321-4D07-A233-7E3700C6A3CA";"EUR";"Flat White";"";"1";"";"4,00";"0,00";"4,00";"3,74";"0,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:31:27";"2025-04-01 10:32:13";"9DBC609A-BDC8-445A-89AA-C48189CB2FA5";"EUR";"Croissant plain";"";"2";"";"2,70";"0,00";"5,40";"5,04";"0,36"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:31:27";"2025-04-01 10:32:13";"9DBC609A-BDC8-445A-89AA-C48189CB2FA5";"EUR";"Flat White";"";"2";"";"4,00";"0,00";"8,00";"7,48";"0,52"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:46:55";"2025-04-01 10:48:30";"6548370B-40F5-4779-92FB-8B104B0E2636";"EUR";"Flat White";"";"1";"";"4,00";"0,00";"4,00";"3,74";"0,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:51:16";"2025-04-01 10:58:51";"E13CBAB2-4804-4224-A896-3EC91979F4F5";"EUR";"Americano";"";"1";"";"3,70";"0,00";"3,70";"3,11";"0,59"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:51:16";"2025-04-01 10:58:51";"E13CBAB2-4804-4224-A896-3EC91979F4F5";"EUR";"Latte";"";"1";"";"4,40";"0,00";"4,40";"4,11";"0,29"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:51:16";"2025-04-01 10:58:51";"E13CBAB2-4804-4224-A896-3EC91979F4F5";"EUR";"Tea";"";"1";"";"4,20";"0,00";"4,20";"3,93";"0,27"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:59:12";"2025-04-01 11:00:54";"EC071FE2-DDF9-4715-8FB2-0167EB65C90C";"EUR";"Hot chocolate";"";"1";"";"4,60";"0,00";"4,60";"4,30";"0,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:01:06";"2025-04-01 11:01:34";"F31EA5F7-5DBA-4704-854C-8BB096E7E734";"EUR";"Flat White";"";"1";"";"4,00";"0,00";"4,00";"3,74";"0,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:05:35";"2025-04-01 11:07:13";"6D1BC8B8-CC6A-4CDF-BB9D-A477D5D71698";"EUR";"Jonathan Gasca 250g";"";"1";"";"15,90";"0,00";"15,90";"14,86";"1,04"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:05:35";"2025-04-01 11:07:13";"6D1BC8B8-CC6A-4CDF-BB9D-A477D5D71698";"EUR";"Limo";"";"1";"";"3,50";"0,00";"3,50";"2,94";"0,56"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:16:48";"2025-04-01 11:20:11";"62AD07BF-15D0-418B-82E0-175BDEEA9D2F";"EUR";"Tea";"";"1";"";"4,20";"0,00";"4,20";"3,93";"0,27"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:20:14";"2025-04-01 11:22:46";"01445924-CB1A-4D64-A8CD-A859198D95B4";"EUR";"Matcha";"";"1";"";"4,90";"0,00";"4,90";"4,58";"0,32"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:20:14";"2025-04-01 11:22:46";"01445924-CB1A-4D64-A8CD-A859198D95B4";"EUR";"Tea";"";"1";"";"4,20";"0,00";"4,20";"3,93";"0,27"
