"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Zahlungsart";"Betrag Trinkgeld"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 09:33:14";"2025-04-01 09:37:22";"0357683A-64C6-4E07-88FA-0FA5B5F5F272";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 09:59:58";"2025-04-01 10:01:13";"42BC32F5-0328-41F5-8788-BFFE95F6316A";"EUR";"SumUp";"0,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:22:49";"2025-04-01 10:24:12";"58777525-08A6-486B-A9CF-DBD4D04C4520";"EUR";"SumUp";"1,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:46:55";"2025-04-01 10:48:30";"6548370B-40F5-4779-92FB-8B104B0E2636";"EUR";"SumUp";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 10:51:16";"2025-04-01 10:58:51";"E13CBAB2-4804-4224-A896-3EC91979F4F5";"EUR";"SumUp";"1,23"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:31:44";"2025-04-01 11:45:24";"085786FF-F91E-403E-A90C-E7B670BB8DDD";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 11:45:26";"2025-04-01 12:01:47";"0FD83860-41E4-4D1D-A208-37F02466B34D";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 12:01:49";"2025-04-01 12:02:51";"5EF048D2-8BD4-4A2D-85B2-DCAFF1F7F3E7";"EUR";"SumUp";"1,73"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 12:06:46";"2025-04-01 12:07:41";"F54A2CFD-095C-487B-A0D7-DC2927F030C3";"EUR";"SumUp";"1,06"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 12:58:08";"2025-04-01 13:02:26";"10565620-4DFA-4573-B807-9E095880C375";"EUR";"SumUp";"1,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01 13:10:16";"2025-04-01 13:13:52";"A5BAE950-DF82-4824-A868-E6F13F45F866";"EUR";"SumUp";"1,36"
