"Datum geschlossen";"Geschäfts ID";"Geschäft";"Erstattungsnummer";"Bestellnummer";"Von Verkäufer eröffnet";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"2025-05-02 14:50:01";"56297";"Suedseite - Coffee Roasters & Bakery";"703FC8FA-265A-4532-B6B1-1BB5BD5AB5FC";"51DC3638-D438-4932-AEF0-4E5BA7D6EBA9";"Vendeur";"I made a mistake and want to cancel the order";"Iced Latte";"";"-2";"";"EUR";"-9,20";"-9,20";"0,00"
"2025-05-11 16:30:45";"56297";"Suedseite - Coffee Roasters & Bakery";"F8841252-5651-48A1-B7DA-B7B66AEDADFA";"62B56447-8942-4F12-915C-3F1B485300D4";"Vendeur";"I made a mistake and want to cancel the order";"Pour Over";"";"-1";"";"EUR";"-7,50";"-7,01";"-0,49"
"2025-05-11 16:30:45";"56297";"Suedseite - Coffee Roasters & Bakery";"F8841252-5651-48A1-B7DA-B7B66AEDADFA";"62B56447-8942-4F12-915C-3F1B485300D4";"Vendeur";"I made a mistake and want to cancel the order";"Knoten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-05-11 16:30:45";"56297";"Suedseite - Coffee Roasters & Bakery";"F8841252-5651-48A1-B7DA-B7B66AEDADFA";"62B56447-8942-4F12-915C-3F1B485300D4";"Vendeur";"I made a mistake and want to cancel the order";"Espresso";"";"-1";"";"EUR";"-3,50";"-2,94";"-0,56"
"2025-05-11 16:30:45";"56297";"Suedseite - Coffee Roasters & Bakery";"F8841252-5651-48A1-B7DA-B7B66AEDADFA";"62B56447-8942-4F12-915C-3F1B485300D4";"Vendeur";"I made a mistake and want to cancel the order";"Iced Matcha";"";"-1";"";"EUR";"-5,10";"-5,10";"0,00"
"2025-05-17 15:14:08";"56297";"Suedseite - Coffee Roasters & Bakery";"1D7E7D70-D867-44F7-9693-45958C98D051";"3770BC98-30BC-41F8-988A-C87494090AD8";"Vendeur";"I made a mistake and want to cancel the order";"Jorge Barreto 250g";"";"-1";"";"EUR";"-12,50";"-11,68";"-0,82"
"2025-05-17 15:14:08";"56297";"Suedseite - Coffee Roasters & Bakery";"1D7E7D70-D867-44F7-9693-45958C98D051";"3770BC98-30BC-41F8-988A-C87494090AD8";"Vendeur";"I made a mistake and want to cancel the order";"Classico";"";"-1";"";"EUR";"-6,50";"-6,07";"-0,43"
"2025-05-21 10:27:40";"56297";"Suedseite - Coffee Roasters & Bakery";"49ACA520-8E0A-449A-9399-D072B48E3604";"354FD61D-20A4-438C-A6FF-4D4F99E9FC36";"Vendeur";"Returned item";"Las Flores 200g";"";"-1";"";"EUR";"-15,90";"-14,86";"-1,04"
"2025-05-24 19:08:56";"56297";"Suedseite - Coffee Roasters & Bakery";"F82D7A8C-01B1-40E9-9981-0DBF63138670";"2569676E-ECDB-4EE9-ABCE-4C0378B13136";"Vendeur";"I made a mistake and want to cancel the order";"Limo";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-05-24 19:08:56";"56297";"Suedseite - Coffee Roasters & Bakery";"F82D7A8C-01B1-40E9-9981-0DBF63138670";"2569676E-ECDB-4EE9-ABCE-4C0378B13136";"Vendeur";"I made a mistake and want to cancel the order";"Limo";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-05-24 19:08:56";"56297";"Suedseite - Coffee Roasters & Bakery";"F82D7A8C-01B1-40E9-9981-0DBF63138670";"2569676E-ECDB-4EE9-ABCE-4C0378B13136";"Vendeur";"I made a mistake and want to cancel the order";"Hot chocolate";"";"-2";"";"EUR";"-9,20";"-8,60";"-0,60"
"2025-05-28 14:49:50";"56297";"Suedseite - Coffee Roasters & Bakery";"F38EA52F-CA68-4D65-A09B-F783C0B0526E";"0E4B9666-956A-4F6F-B9C6-A7338D89E48B";"Vendeur";"I made a mistake and want to cancel the order";"Flat White";"";"-1";"";"EUR";"-4,30";"-3,61";"-0,69"
"2025-05-31 13:00:07";"56297";"Suedseite - Coffee Roasters & Bakery";"8834D4DE-C166-4C1D-A51E-184C1DE44766";"EBA5083E-F0CD-4C4F-BA11-02CE9AF6F437";"Vendeur";"I made a mistake and want to cancel the order";"Cold Brew";"";"-1";"";"EUR";"-4,70";"-4,70";"0,00"
"2025-05-31 13:00:07";"56297";"Suedseite - Coffee Roasters & Bakery";"8834D4DE-C166-4C1D-A51E-184C1DE44766";"EBA5083E-F0CD-4C4F-BA11-02CE9AF6F437";"Vendeur";"I made a mistake and want to cancel the order";"Iced Espresso";"";"-1";"";"EUR";"-4,00";"-3,74";"-0,26"
"2025-05-31 13:00:07";"56297";"Suedseite - Coffee Roasters & Bakery";"8834D4DE-C166-4C1D-A51E-184C1DE44766";"EBA5083E-F0CD-4C4F-BA11-02CE9AF6F437";"Vendeur";"I made a mistake and want to cancel the order";"Pastel de Nata";"";"-1";"";"EUR";"-2,70";"-2,52";"-0,18"
"2025-05-31 13:00:07";"56297";"Suedseite - Coffee Roasters & Bakery";"8834D4DE-C166-4C1D-A51E-184C1DE44766";"EBA5083E-F0CD-4C4F-BA11-02CE9AF6F437";"Vendeur";"I made a mistake and want to cancel the order";"Buchtel";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
