"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03";"EUR";"0,07";"513,30";"549,28";"0,00";"0,00";"35,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03";"EUR";"0,19";"46,12";"54,90";"0,00";"0,00";"8,78"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-04";"EUR";"0,00";"15,00";"15,00";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-04";"EUR";"0,07";"712,04";"761,94";"0,00";"0,00";"49,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-04";"EUR";"0,19";"49,57";"58,99";"0,00";"0,00";"9,42"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-05";"EUR";"0,07";"365,77";"391,40";"0,00";"0,00";"25,63"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-05";"EUR";"0,19";"74,78";"89,00";"0,00";"0,00";"14,22"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-06";"EUR";"0,07";"541,68";"579,65";"0,00";"0,00";"37,97"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-06";"EUR";"0,19";"101,25";"120,53";"0,00";"0,00";"19,28"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-07";"EUR";"0,07";"293,18";"313,74";"0,00";"0,00";"20,56"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-07";"EUR";"0,19";"46,12";"54,90";"0,00";"0,00";"8,78"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-08";"EUR";"0,07";"262,37";"280,76";"0,00";"0,00";"18,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-08";"EUR";"0,19";"28,82";"34,30";"0,00";"0,00";"5,48"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-09";"EUR";"0,07";"356,70";"381,69";"3,74";"4,00";"24,73"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-09";"EUR";"0,19";"36,99";"44,02";"0,00";"0,00";"7,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-10";"EUR";"0,07";"378,61";"405,15";"0,00";"0,00";"26,54"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-10";"EUR";"0,19";"49,31";"58,70";"0,00";"0,00";"9,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-11";"EUR";"0,07";"677,91";"725,47";"0,00";"0,00";"47,56"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-11";"EUR";"0,19";"90,40";"107,60";"0,00";"0,00";"17,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-12";"EUR";"0,00";"20,00";"20,00";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-12";"EUR";"0,07";"519,50";"555,88";"0,00";"0,00";"36,38"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-12";"EUR";"0,19";"107,87";"128,40";"0,00";"0,00";"20,53"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-13";"EUR";"0,07";"139,66";"149,40";"0,00";"0,00";"9,74"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-13";"EUR";"0,19";"26,59";"31,65";"0,00";"0,00";"5,06"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-14";"EUR";"0,00";"-19,40";"-19,40";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-14";"EUR";"0,07";"309,75";"331,44";"0,00";"0,00";"21,69"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-14";"EUR";"0,19";"73,21";"87,14";"0,00";"0,00";"13,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-15";"EUR";"0,07";"237,73";"254,37";"0,00";"0,00";"16,64"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-15";"EUR";"0,19";"59,65";"71,00";"0,00";"0,00";"11,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-16";"EUR";"0,00";"10,00";"10,00";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-16";"EUR";"0,07";"471,12";"504,12";"3,08";"3,30";"32,78"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-16";"EUR";"0,19";"66,25";"78,85";"0,00";"0,00";"12,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-17";"EUR";"0,07";"350,44";"375,03";"0,00";"0,00";"24,59"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-17";"EUR";"0,19";"48,21";"57,40";"0,00";"0,00";"9,19"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-18";"EUR";"0,07";"659,82";"706,07";"7,10";"7,60";"45,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-18";"EUR";"0,19";"72,70";"86,52";"0,00";"0,00";"13,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-19";"EUR";"0,00";"-12,90";"-12,90";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-19";"EUR";"0,07";"690,25";"738,58";"0,00";"0,00";"48,33"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-19";"EUR";"0,19";"130,33";"155,12";"0,00";"0,00";"24,79"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-20";"EUR";"0,07";"282,04";"301,80";"0,00";"0,00";"19,76"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-20";"EUR";"0,19";"53,09";"63,20";"0,00";"0,00";"10,11"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-21";"EUR";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-21";"EUR";"0,07";"268,29";"287,10";"0,00";"0,00";"18,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-21";"EUR";"0,19";"31,00";"36,90";"0,00";"0,00";"5,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-22";"EUR";"0,07";"323,72";"346,40";"0,00";"0,00";"22,68"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-22";"EUR";"0,19";"41,60";"49,50";"0,00";"0,00";"7,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-23";"EUR";"0,00";"11,30";"11,30";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-23";"EUR";"0,07";"353,85";"378,64";"0,00";"0,00";"24,79"
