"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01";"EUR";"CASH";"244,80";"-12,30";"232,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01";"EUR";"SUMUP";"956,56";"-6,80";"949,76"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02";"EUR";"CASH";"91,10";"0,00";"91,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02";"EUR";"SUMUP";"763,70";"0,00";"763,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-03";"EUR";"CASH";"76,60";"0,00";"76,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-03";"EUR";"SUMUP";"159,35";"0,00";"159,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-04";"EUR";"CASH";"113,17";"0,00";"113,17"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-04";"EUR";"SUMUP";"450,17";"0,00";"450,17"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-05";"EUR";"CASH";"157,00";"0,00";"157,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-05";"EUR";"SUMUP";"296,93";"0,00";"296,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-06";"EUR";"CASH";"122,55";"0,00";"122,55"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-06";"EUR";"SUMUP";"346,94";"0,00";"346,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-07";"EUR";"CASH";"154,63";"0,00";"154,63"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-07";"EUR";"SUMUP";"425,02";"0,00";"425,02"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-08";"EUR";"CASH";"411,37";"0,00";"411,37"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-08";"EUR";"SUMUP";"1116,75";"0,00";"1116,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-09";"EUR";"CASH";"134,00";"0,00";"134,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-09";"EUR";"SUMUP";"673,82";"0,00";"673,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-10";"EUR";"CASH";"122,20";"0,00";"122,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-10";"EUR";"SUMUP";"277,13";"0,00";"277,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-11";"EUR";"CASH";"89,00";"0,00";"89,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-11";"EUR";"SUMUP";"224,82";"0,00";"224,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-12";"EUR";"CASH";"141,30";"0,00";"141,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-12";"EUR";"SUMUP";"186,05";"0,00";"186,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-13";"EUR";"CASH";"116,19";"0,00";"116,19"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-13";"EUR";"SUMUP";"392,03";"0,00";"392,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-14";"EUR";"CASH";"133,10";"0,00";"133,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-14";"EUR";"SUMUP";"503,76";"0,00";"503,76"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-15";"EUR";"CASH";"155,60";"0,00";"155,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-15";"EUR";"SUMUP";"1029,57";"0,00";"1029,57"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-16";"EUR";"CASH";"181,20";"-20,00";"161,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-16";"EUR";"SUMUP";"590,66";"0,00";"590,66"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-17";"EUR";"CASH";"108,40";"0,00";"108,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-17";"EUR";"SUMUP";"363,20";"0,00";"363,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-18";"EUR";"CASH";"130,30";"0,00";"130,30"
