"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 09:32:38";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3279";"Sonstige Einnahme";"";"EUR";"7,84";"";"0,00";"0,00";"157,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 10:55:48";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3280";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"161,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 11:02:02";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3281";"Sonstige Einnahme";"";"EUR";"7,30";"";"0,00";"0,00";"169,14"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 11:06:24";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3282";"Sonstige Einnahme";"";"EUR";"2,70";"";"0,00";"0,00";"171,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 11:16:22";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3283";"Sonstige Einnahme";"";"EUR";"7,00";"";"0,00";"0,00";"178,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 11:55:27";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3284";"Sonstige Einnahme";"";"EUR";"4,30";"";"0,00";"0,00";"183,14"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 11:59:14";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3285";"Sonstige Einnahme";"";"EUR";"4,60";"";"0,00";"0,00";"187,74"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 12:08:59";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3286";"Sonstige Einnahme";"";"EUR";"9,30";"";"0,00";"0,00";"197,04"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 12:25:05";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3287";"Sonstige Einnahme";"";"EUR";"2,31";"";"0,00";"0,00";"199,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 12:55:29";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3288";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"203,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 13:00:17";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3289";"Sonstige Einnahme";"";"EUR";"18,70";"";"0,00";"0,00";"222,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01 13:05:46";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3290";"Sonstige Einnahme";"";"EUR";"2,90";"";"0,00";"0,00";"224,95"
