"Geschäft";"Geschäfts ID";"Datum";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"Betrag MwSt";"Gesamtrabatt";"Gesamt Stornos";"Gesamtrückerstattung (inkl. Steuer)";"Gesamtrückerstattung (ohne Steuer)";"Gesamt Zahlungen";"Gesamtausgaben";"Gesamtbetrag Kundenkonten";"Gesamtbetrag Trinkgeld"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-01";"EUR";"1112,91";"1028,05";"84,86";"0,00";"4,40";"0,00";"0,00";"1158,37";"0,00";"0,00";"45,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-02";"EUR";"1230,31";"1149,23";"81,08";"13,54";"9,50";"-9,20";"-9,20";"1279,88";"0,00";"0,00";"58,77"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-03";"EUR";"1391,64";"1278,42";"113,22";"18,48";"4,00";"0,00";"0,00";"1457,81";"0,00";"0,00";"66,17"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-04";"EUR";"978,03";"891,59";"86,44";"14,34";"7,90";"0,00";"0,00";"1028,56";"0,00";"0,00";"50,53"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-05";"EUR";"662,01";"609,74";"52,27";"3,29";"0,00";"0,00";"0,00";"697,77";"0,00";"0,00";"35,76"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-06";"EUR";"651,80";"602,17";"49,63";"10,60";"0,00";"0,00";"0,00";"685,71";"0,00";"0,00";"33,91"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-07";"EUR";"479,05";"443,72";"35,33";"1,05";"0,00";"0,00";"0,00";"506,84";"0,00";"0,00";"27,79"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-08";"EUR";"578,93";"533,41";"45,52";"13,74";"0,00";"0,00";"0,00";"616,08";"0,00";"0,00";"37,15"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-09";"EUR";"1095,64";"1011,14";"84,50";"0,00";"0,00";"0,00";"0,00";"1135,58";"0,00";"0,00";"39,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-05-10";"EUR";"1400,43";"1294,96";"105,47";"7,50";"4,00";"0,00";"0,00";"1466,13";"0,00";"0,00";"65,70"
