"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Stückpreis inkl. MwSt";"Rabatt";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:10:00";"2025-02-01 09:21:25";"59EC8B5E-AFBF-4F5B-9500-6EFBBA9EE207";"EUR";"Kasten";"";"1";"";"7,60";"0,00";"7,60";"7,10";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:30:16";"2025-02-01 09:32:35";"864E7B6F-01BB-4C1E-8AC9-6EF16017C773";"EUR";"Limonaden";"";"1";"";"3,00";"0,00";"3,00";"2,52";"0,48"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:30:16";"2025-02-01 09:32:35";"864E7B6F-01BB-4C1E-8AC9-6EF16017C773";"EUR";"Matcha";"";"1";"";"4,90";"0,00";"4,90";"4,12";"0,78"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:30:16";"2025-02-01 09:32:35";"864E7B6F-01BB-4C1E-8AC9-6EF16017C773";"EUR";"Varianten";"";"1";"";"6,50";"0,00";"6,50";"6,07";"0,43"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:32:46";"2025-02-01 09:37:32";"833E0959-9707-4DCB-9A13-7EA68FD0F51E";"EUR";"Americano";"";"2";"";"3,70";"0,00";"7,40";"6,22";"1,18"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:32:46";"2025-02-01 09:37:32";"833E0959-9707-4DCB-9A13-7EA68FD0F51E";"EUR";"Flatwhite";"";"1";"";"4,00";"0,00";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:37:36";"2025-02-01 09:38:23";"7AAABB4A-0A48-4218-BE72-81A84924397A";"EUR";"Kasten";"";"1";"";"7,60";"0,00";"7,60";"7,10";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:37:36";"2025-02-01 09:38:23";"7AAABB4A-0A48-4218-BE72-81A84924397A";"EUR";"Rustico";"";"1";"";"6,20";"0,00";"6,20";"5,79";"0,41"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:38:42";"2025-02-01 09:39:57";"A169C37C-2FC2-47E5-B6C2-01595C04A90D";"EUR";"Classico";"";"1";"";"5,00";"0,00";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:38:42";"2025-02-01 09:39:57";"A169C37C-2FC2-47E5-B6C2-01595C04A90D";"EUR";"Kasten";"";"1";"";"7,60";"0,00";"7,60";"7,10";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:38:42";"2025-02-01 09:39:57";"A169C37C-2FC2-47E5-B6C2-01595C04A90D";"EUR";"Rustico";"";"2";"";"6,20";"0,00";"12,40";"11,58";"0,82"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:45:22";"2025-02-01 09:51:00";"CA538BCB-391E-493E-8B12-4E1A06C3CD1A";"EUR";"Knotten";"";"1";"";"3,50";"0,00";"3,50";"3,27";"0,23"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:51:13";"2025-02-01 09:51:17";"C9C03519-1904-4650-BA3A-03B2D7B96DB4";"EUR";"Classico";"";"1";"";"5,00";"0,00";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 09:53:21";"2025-02-01 09:53:57";"9419AB05-1447-4221-8459-D4AA6067587F";"EUR";"Knotten";"";"1";"";"3,30";"0,00";"3,30";"3,08";"0,22"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:00:17";"2025-02-01 10:05:15";"467E8E99-C9C0-4C42-8F7E-119BCD2090D9";"EUR";"Flatwhite";"";"1";"";"4,00";"0,00";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:00:17";"2025-02-01 10:05:15";"467E8E99-C9C0-4C42-8F7E-119BCD2090D9";"EUR";"Kasten";"";"1";"";"7,60";"0,00";"7,60";"7,10";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:00:17";"2025-02-01 10:05:15";"467E8E99-C9C0-4C42-8F7E-119BCD2090D9";"EUR";"Knotten";"";"1";"";"6,80";"0,00";"6,80";"6,36";"0,44"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:00:17";"2025-02-01 10:05:15";"467E8E99-C9C0-4C42-8F7E-119BCD2090D9";"EUR";"Matcha";"";"1";"";"4,90";"0,00";"4,90";"4,12";"0,78"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:14:37";"2025-02-01 10:16:19";"15DACA0A-5BEF-4237-9DB8-3A3E779AB748";"EUR";"Kasten";"";"1";"";"7,60";"0,00";"7,60";"7,10";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:16:25";"2025-02-01 10:17:08";"4B6591AF-BC04-440E-A42E-F6405A15FCC9";"EUR";"Classico";"";"1";"";"5,00";"0,00";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:16:25";"2025-02-01 10:17:08";"4B6591AF-BC04-440E-A42E-F6405A15FCC9";"EUR";"Knotten";"";"1";"";"6,80";"0,00";"6,80";"6,36";"0,44"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:17:17";"2025-02-01 10:37:41";"174AE658-65CD-4A7C-A87E-30902CE5B282";"EUR";"Classico";"";"1";"";"12,40";"0,00";"12,40";"11,59";"0,81"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:17:17";"2025-02-01 10:37:41";"174AE658-65CD-4A7C-A87E-30902CE5B282";"EUR";"Kasten";"";"1";"";"7,60";"0,00";"7,60";"7,10";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:47:36";"2025-02-01 10:48:37";"4070DAB0-9618-4DE9-B4A2-F7EAEAB3550B";"EUR";"Kasten";"";"1";"";"3,80";"0,00";"3,80";"3,55";"0,25"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:49:24";"2025-02-01 10:52:02";"8456D2C0-7825-4C9D-B8C3-9B14D78A5ADB";"EUR";"Flatwhite";"";"2";"";"4,00";"0,00";"8,00";"6,72";"1,28"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:49:24";"2025-02-01 10:52:02";"8456D2C0-7825-4C9D-B8C3-9B14D78A5ADB";"EUR";"HOT choc";"";"1";"";"4,10";"0,00";"4,10";"3,45";"0,65"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:49:24";"2025-02-01 10:52:02";"8456D2C0-7825-4C9D-B8C3-9B14D78A5ADB";"EUR";"Limonaden";"";"1";"";"3,00";"0,00";"3,00";"2,52";"0,48"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:52:15";"2025-02-01 10:52:50";"90C09203-20D9-466E-93ED-AE8A4256E578";"EUR";"Varianten";"";"1";"";"6,50";"0,00";"6,50";"6,07";"0,43"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:53:04";"2025-02-01 10:53:46";"007F0B0B-E36C-459A-BDA0-CE74EADF6681";"EUR";"Americano";"";"1";"";"3,70";"0,00";"3,70";"3,11";"0,59"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:56:58";"2025-02-01 10:58:10";"5F67962C-9C25-455A-86E1-ED9A217C5EB6";"EUR";"Flatwhite";"";"1";"";"4,00";"0,00";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:56:58";"2025-02-01 10:58:10";"5F67962C-9C25-455A-86E1-ED9A217C5EB6";"EUR";"Knotten";"";"1";"";"3,30";"0,00";"3,30";"3,08";"0,22"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:58:14";"2025-02-01 10:58:41";"1A30E820-1AF5-4A06-8C10-33F8C897D633";"EUR";"Flatwhite";"";"1";"";"4,00";"0,00";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:58:14";"2025-02-01 10:58:41";"1A30E820-1AF5-4A06-8C10-33F8C897D633";"EUR";"Knotten";"";"1";"";"3,30";"0,00";"3,30";"3,08";"0,22"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:58:56";"2025-02-01 11:00:37";"F8AEE4C6-005C-4C3C-A45F-8F844288390E";"EUR";"Flatwhite";"";"1";"";"4,00";"0,00";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 10:58:56";"2025-02-01 11:00:37";"F8AEE4C6-005C-4C3C-A45F-8F844288390E";"EUR";"Knotten";"";"1";"";"3,30";"0,00";"3,30";"3,08";"0,22"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:00:44";"2025-02-01 11:03:22";"D0D0D375-9F8D-43C8-AD21-12C5815911F1";"EUR";"Flatwhite";"";"1";"";"4,00";"0,00";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:00:44";"2025-02-01 11:03:22";"D0D0D375-9F8D-43C8-AD21-12C5815911F1";"EUR";"HOT choc";"";"1";"";"4,10";"0,00";"4,10";"3,45";"0,65"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:00:44";"2025-02-01 11:03:22";"D0D0D375-9F8D-43C8-AD21-12C5815911F1";"EUR";"Sandwich";"";"1";"";"6,00";"0,00";"6,00";"5,61";"0,39"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:00:44";"2025-02-01 11:03:22";"D0D0D375-9F8D-43C8-AD21-12C5815911F1";"EUR";"Schnecke";"";"1";"";"3,50";"0,00";"3,50";"3,27";"0,23"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:06:56";"2025-02-01 11:08:02";"1D5269B4-F5DE-486D-8E34-5D17847F498A";"EUR";"Rustico";"";"1";"";"6,20";"0,00";"6,20";"5,79";"0,41"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:11:20";"2025-02-01 11:13:58";"01ED3205-5FAA-438A-AA4E-AA6FDDCB2446";"EUR";"Choco Brötchen";"";"1";"";"2,80";"0,00";"2,80";"2,62";"0,18"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:11:20";"2025-02-01 11:13:58";"01ED3205-5FAA-438A-AA4E-AA6FDDCB2446";"EUR";"Classico";"";"1";"";"5,00";"0,00";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:11:20";"2025-02-01 11:13:58";"01ED3205-5FAA-438A-AA4E-AA6FDDCB2446";"EUR";"Knotten";"";"1";"";"19,80";"0,00";"19,80";"18,50";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:14:02";"2025-02-01 11:16:35";"86E6F3FB-BA29-4535-A3EB-20832291EE78";"EUR";"Classico";"";"1";"";"5,00";"0,00";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:14:02";"2025-02-01 11:16:35";"86E6F3FB-BA29-4535-A3EB-20832291EE78";"EUR";"Schnecke";"";"1";"";"3,50";"0,00";"3,50";"3,27";"0,23"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01 11:18:22";"2025-02-01 11:18:59";"C1B71683-D410-4166-B658-D8D24380B2E1";"EUR";"Brötchen";"";"2";"";"1,50";"0,00";"3,00";"2,80";"0,20"
