"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Steuersatz";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 09:29:44";"2025-03-01 09:30:17";"C40F90CD-92B9-43C3-8806-343AD4E151EC";"EUR";"";"7,60";"7,10";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 09:34:22";"2025-03-01 09:35:58";"CDBCB187-39EE-4386-A958-916227B5C5AA";"EUR";"";"7,40";"6,92";"0,48"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 09:36:10";"2025-03-01 09:36:31";"E381CCF8-6756-4878-90E6-2AEAAD6A54A5";"EUR";"";"8,00";"6,72";"1,28"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 09:36:34";"2025-03-01 09:36:52";"76B1B6D8-71D7-4CF3-BB7D-AA5412D58FFA";"EUR";"";"3,80";"3,55";"0,25"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:04:48";"2025-03-01 10:08:32";"0A1C9608-6AAA-40BD-B344-708CDEAC6168";"EUR";"";"24,90";"23,26";"1,64"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:04:48";"2025-03-01 10:08:32";"0A1C9608-6AAA-40BD-B344-708CDEAC6168";"EUR";"";"8,20";"6,89";"1,31"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:10:11";"2025-03-01 10:10:31";"B8056A7B-7E24-4659-8333-3A73EBC9548D";"EUR";"";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:15:42";"2025-03-01 10:18:49";"C0AF885D-1BC9-47A3-A9E3-AF43C138FF81";"EUR";"";"15,30";"14,29";"1,01"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:19:24";"2025-03-01 10:20:09";"9D86EC8F-3728-4185-86A9-86811F4B158F";"EUR";"";"9,90";"9,25";"0,65"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:11:30";"2025-03-01 10:24:51";"0F408A28-472F-4406-AB88-AF6370E1F461";"EUR";"";"33,10";"30,94";"2,16"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:11:30";"2025-03-01 10:24:51";"0F408A28-472F-4406-AB88-AF6370E1F461";"EUR";"";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:27:12";"2025-03-01 10:29:16";"3B44AC95-FC35-43F4-9B8B-1B2EDFFFC5F9";"EUR";"";"13,80";"12,89";"0,91"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:29:21";"2025-03-01 10:30:12";"53CF2B65-D239-425F-B3E6-B9C98FC13F78";"EUR";"";"7,80";"7,28";"0,52"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:44:22";"2025-03-01 10:46:09";"D961A770-D7A6-4CE4-9974-9F224FEB0F0D";"EUR";"";"6,10";"5,70";"0,40"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:44:22";"2025-03-01 10:46:09";"D961A770-D7A6-4CE4-9974-9F224FEB0F0D";"EUR";"";"5,00";"4,20";"0,80"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:46:19";"2025-03-01 10:50:35";"D95DAC1E-F498-47B0-8068-A3BF239ABD36";"EUR";"";"11,50";"10,74";"0,76"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:58:17";"2025-03-01 10:59:33";"92E05184-9764-4E41-9397-271D43B7974B";"EUR";"";"20,00";"20,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:01:08";"2025-03-01 11:02:47";"3944A93B-C95B-4AF5-8118-F423945B92AD";"EUR";"";"8,30";"7,75";"0,55"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:01:08";"2025-03-01 11:02:47";"3944A93B-C95B-4AF5-8118-F423945B92AD";"EUR";"";"8,70";"7,32";"1,38"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:03:03";"2025-03-01 11:04:09";"550FFE2D-E70F-4346-B9E5-683098C27C32";"EUR";"";"17,80";"16,63";"1,17"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:07:37";"2025-03-01 11:09:51";"6135CCA8-59AB-48F4-B862-B5F6FCDE1234";"EUR";"";"16,10";"15,04";"1,06"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:09:58";"2025-03-01 11:13:22";"EBA18C3F-AEFB-44B8-8B7F-D60CB24B7D93";"EUR";"";"16,00";"14,94";"1,06"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:14:10";"2025-03-01 11:14:47";"52359FC1-402A-409A-BA50-2CAC25C99D2B";"EUR";"";"6,50";"6,07";"0,43"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:14:50";"2025-03-01 11:15:34";"4CA587C9-E619-4D0B-9DDB-17E13AB0D69E";"EUR";"";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:15:39";"2025-03-01 11:16:21";"A12ABFF9-CFA9-4A6F-9867-FB4E9D4A37DA";"EUR";"";"8,00";"6,72";"1,28"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:18:22";"2025-03-01 11:19:05";"A9414864-BD4A-425A-8B7E-9178CE58F61F";"EUR";"";"19,50";"18,23";"1,27"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:20:16";"2025-03-01 11:19:27";"4DE34EE7-B927-4CEE-9BEA-682520135E21";"EUR";"";"22,80";"21,31";"1,49"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 10:20:16";"2025-03-01 11:19:27";"4DE34EE7-B927-4CEE-9BEA-682520135E21";"EUR";"";"6,10";"5,13";"0,97"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:24:35";"2025-03-01 11:25:19";"01702295-5358-44E3-8599-795BF3AA6DDC";"EUR";"";"10,90";"10,18";"0,72"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:32:10";"2025-03-01 11:33:49";"22DDE631-392D-45EA-907C-53D1E10F5579";"EUR";"";"14,90";"13,92";"0,98"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:33:57";"2025-03-01 11:34:43";"6D3EC5BA-210F-409E-856E-5412C9196CE6";"EUR";"";"9,30";"8,69";"0,61"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:33:57";"2025-03-01 11:34:43";"6D3EC5BA-210F-409E-856E-5412C9196CE6";"EUR";"";"8,40";"7,06";"1,34"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:34:55";"2025-03-01 11:36:02";"F0D8F919-66FF-48DB-B62E-53A966B25492";"EUR";"";"6,00";"5,61";"0,39"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:34:55";"2025-03-01 11:36:02";"F0D8F919-66FF-48DB-B62E-53A966B25492";"EUR";"";"4,20";"3,53";"0,67"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:36:08";"2025-03-01 11:37:13";"EF84FB9B-6FF2-4655-8E5E-6C96BC206ED2";"EUR";"";"6,00";"5,61";"0,39"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:36:08";"2025-03-01 11:37:13";"EF84FB9B-6FF2-4655-8E5E-6C96BC206ED2";"EUR";"";"4,00";"3,36";"0,64"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:37:19";"2025-03-01 11:37:42";"CBB157AB-6036-4A40-9E3F-D45A5C1AE480";"EUR";"";"6,00";"5,61";"0,39"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01 11:37:19";"2025-03-01 11:37:42";"CBB157AB-6036-4A40-9E3F-D45A5C1AE480";"EUR";"";"3,00";"2,52";"0,48"
