"Datum geschlossen";"Geschäfts ID";"Geschäft";"Erstattungsnummer";"Bestellnummer";"Von Verkäufer eröffnet";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"2025-04-06 12:38:30";"55978";"Suedseite - Bakery and Roastery";"83EA12E9-49E3-4B6D-8A81-01316B817B62";"E2425351-F962-4310-B84C-96D70A75583F";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brötchen";"";"-1";"";"EUR";"-1,50";"-1,40";"-0,10"
"2025-04-06 12:38:30";"55978";"Suedseite - Bakery and Roastery";"83EA12E9-49E3-4B6D-8A81-01316B817B62";"E2425351-F962-4310-B84C-96D70A75583F";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brötchen";"";"-1";"";"EUR";"-1,50";"-1,40";"-0,10"
"2025-04-06 12:38:30";"55978";"Suedseite - Bakery and Roastery";"83EA12E9-49E3-4B6D-8A81-01316B817B62";"E2425351-F962-4310-B84C-96D70A75583F";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Classico";"";"-1";"";"EUR";"-3,40";"-3,18";"-0,22"
"2025-04-06 12:38:30";"55978";"Suedseite - Bakery and Roastery";"83EA12E9-49E3-4B6D-8A81-01316B817B62";"E2425351-F962-4310-B84C-96D70A75583F";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Buchtel";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-04-06 12:38:30";"55978";"Suedseite - Bakery and Roastery";"83EA12E9-49E3-4B6D-8A81-01316B817B62";"E2425351-F962-4310-B84C-96D70A75583F";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Choco Brötchen";"";"-1";"";"EUR";"-2,80";"-2,62";"-0,18"
"2025-04-08 16:20:12";"55978";"Suedseite - Bakery and Roastery";"FD84D44A-3E50-4DB7-9F69-E26F0CE44677";"E106F83D-3D49-4534-B781-1321061A3ABB";"Vendeur";"Tippfehler ";"Pizza stk TEST";"";"-1";"";"EUR";"-4,00";"-3,74";"-0,26"
"2025-04-08 16:20:12";"55978";"Suedseite - Bakery and Roastery";"FD84D44A-3E50-4DB7-9F69-E26F0CE44677";"E106F83D-3D49-4534-B781-1321061A3ABB";"Vendeur";"Tippfehler ";"Rustico";"";"-1";"";"EUR";"-6,20";"-5,79";"-0,41"
"2025-04-11 14:39:42";"55978";"Suedseite - Bakery and Roastery";"56A53330-E1DC-4042-97DF-38A6DF4644D9";"CA36245D-5950-4841-9BD0-74C4AC9555B6";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Espresso";"";"-1";"";"EUR";"-3,70";"-3,11";"-0,59"
"2025-04-11 14:39:42";"55978";"Suedseite - Bakery and Roastery";"56A53330-E1DC-4042-97DF-38A6DF4644D9";"CA36245D-5950-4841-9BD0-74C4AC9555B6";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Buchtel";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-04-16 10:17:08";"55978";"Suedseite - Bakery and Roastery";"77D0FDE3-1713-479B-80C4-11C87BAFF943";"2B36EF75-A9D3-46EA-BCCA-3C0B383934B3";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Espresso";"";"-1";"";"EUR";"-3,50";"-2,94";"-0,56"
"2025-04-16 10:17:08";"55978";"Suedseite - Bakery and Roastery";"77D0FDE3-1713-479B-80C4-11C87BAFF943";"2B36EF75-A9D3-46EA-BCCA-3C0B383934B3";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,00";"-3,36";"-0,64"
"2025-04-16 10:17:08";"55978";"Suedseite - Bakery and Roastery";"77D0FDE3-1713-479B-80C4-11C87BAFF943";"2B36EF75-A9D3-46EA-BCCA-3C0B383934B3";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knoten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-04-16 10:17:08";"55978";"Suedseite - Bakery and Roastery";"77D0FDE3-1713-479B-80C4-11C87BAFF943";"2B36EF75-A9D3-46EA-BCCA-3C0B383934B3";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,20";"-3,53";"-0,67"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brioche";"";"-1";"";"EUR";"-3,00";"-2,80";"-0,20"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brioche";"";"-1";"";"EUR";"-3,00";"-2,80";"-0,20"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Schnecke";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knoten";"";"-1";"";"EUR";"-6,60";"-6,17";"-0,43"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brötchen";"";"-1";"";"EUR";"-1,50";"-1,40";"-0,10"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brötchen";"";"-1";"";"EUR";"-1,50";"-1,40";"-0,10"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brötchen";"";"-1";"";"EUR";"-1,50";"-1,40";"-0,10"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Brötchen";"";"-1";"";"EUR";"-1,50";"-1,40";"-0,10"
"2025-04-19 13:02:01";"55978";"Suedseite - Bakery and Roastery";"39741CA3-33FB-400E-8B47-470065EDD298";"F8339A19-5E49-4682-A5BC-0C818E16D27E";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Classico";"";"-1";"";"EUR";"-7,40";"-6,92";"-0,48"
"2025-04-25 14:20:19";"55978";"Suedseite - Bakery and Roastery";"63A7E983-E359-47AF-BA33-BAE885BBD541";"B49EE7A1-2D12-4295-8E06-C7C9628B9F4C";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Rustico";"";"-1";"";"EUR";"-6,20";"-5,79";"-0,41"
