"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Zahlungsart";"Betrag Trinkgeld"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:14:36";"2025-06-01 10:15:57";"D56BC0D6-3366-447C-A508-114D63D63E9F";"EUR";"SumUp";"1,59"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:16:18";"2025-06-01 10:18:33";"3BC8F172-AB73-4A48-BC88-E70DF764F913";"EUR";"SumUp";"5,18"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:43:13";"2025-06-01 10:44:53";"082CC026-824D-4705-8D06-899A1A779C55";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:58:34";"2025-06-01 11:00:23";"30997504-23F4-4A0D-B786-D54B7726B437";"EUR";"SumUp";"1,43"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:35:11";"2025-06-01 11:36:20";"10436625-CC15-43EC-AE6C-7BAFC0A3571A";"EUR";"SumUp";"1,39"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:44:31";"2025-06-01 11:45:44";"336EFFC9-A328-49E3-A74A-10D44E207023";"EUR";"SumUp";"1,94"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:08:52";"2025-06-01 12:09:22";"1FDD49FD-F427-47B3-8E79-7439E5D4786B";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:18:31";"2025-06-01 12:27:43";"D2A3C61C-0385-4878-9938-26C9F49C3A18";"EUR";"SumUp";"3,91"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:39:18";"2025-06-01 12:40:24";"3780EDEC-98FA-4156-9929-E2F8443E139D";"EUR";"SumUp";"1,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:42:10";"2025-06-01 12:43:43";"7F254CDA-0216-4821-8D5D-F2D742E6A888";"EUR";"SumUp";"1,49"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:44:19";"2025-06-01 12:45:40";"E6F1F6B7-4ED9-44D3-9A6C-7D9D96684570";"EUR";"SumUp";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:51:15";"2025-06-01 12:52:41";"3E010B87-DB83-497E-BB08-CC3F818B12EA";"EUR";"SumUp";"1,57"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 13:02:22";"2025-06-01 13:03:09";"482D7469-2861-4897-9347-E20DB6A40052";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 13:23:28";"2025-06-01 13:24:13";"69DA3DCF-71D5-4E24-8761-0AC53E90FA10";"EUR";"SumUp";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:49:32";"2025-06-01 13:26:23";"1B55C35D-75C1-4EBA-9C67-09AB21E9DF3F";"EUR";"SumUp";"5,21"
