"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"CASH";"414,30";"-8,00";"406,30"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"677,56";"0,00";"677,56"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"CASH";"373,70";"0,00";"373,70"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"SUMUP";"832,18";"0,00";"832,18"
"Suedseite - Bakery and Roastery";"55978";"2025-01-05";"EUR";"CASH";"265,50";"0,00";"265,50"
"Suedseite - Bakery and Roastery";"55978";"2025-01-05";"EUR";"SUMUP";"634,65";"0,00";"634,65"
"Suedseite - Bakery and Roastery";"55978";"2025-01-06";"EUR";"SUMUP";"14,40";"0,00";"14,40"
"Suedseite - Bakery and Roastery";"55978";"2025-01-07";"EUR";"CASH";"462,60";"0,00";"462,60"
"Suedseite - Bakery and Roastery";"55978";"2025-01-07";"EUR";"SUMUP";"259,27";"0,00";"259,27"
"Suedseite - Bakery and Roastery";"55978";"2025-01-08";"EUR";"CASH";"147,40";"0,00";"147,40"
"Suedseite - Bakery and Roastery";"55978";"2025-01-08";"EUR";"SUMUP";"408,98";"0,00";"408,98"
"Suedseite - Bakery and Roastery";"55978";"2025-01-09";"EUR";"CASH";"298,70";"0,00";"298,70"
"Suedseite - Bakery and Roastery";"55978";"2025-01-09";"EUR";"SUMUP";"440,96";"0,00";"440,96"
"Suedseite - Bakery and Roastery";"55978";"2025-01-10";"EUR";"CASH";"568,30";"0,00";"568,30"
"Suedseite - Bakery and Roastery";"55978";"2025-01-10";"EUR";"SUMUP";"795,33";"0,00";"795,33"
"Suedseite - Bakery and Roastery";"55978";"2025-01-11";"EUR";"CASH";"397,10";"0,00";"397,10"
"Suedseite - Bakery and Roastery";"55978";"2025-01-11";"EUR";"SUMUP";"960,61";"0,00";"960,61"
"Suedseite - Bakery and Roastery";"55978";"2025-01-12";"EUR";"CASH";"493,15";"-8,20";"484,95"
"Suedseite - Bakery and Roastery";"55978";"2025-01-12";"EUR";"SUMUP";"1021,31";"-14,05";"1007,26"
"Suedseite - Bakery and Roastery";"55978";"2025-01-13";"EUR";"CASH";"1,00";"-1,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-14";"EUR";"CASH";"527,10";"0,00";"527,10"
"Suedseite - Bakery and Roastery";"55978";"2025-01-14";"EUR";"SUMUP";"402,89";"0,00";"402,89"
"Suedseite - Bakery and Roastery";"55978";"2025-01-15";"EUR";"CASH";"327,20";"0,00";"327,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-15";"EUR";"SUMUP";"338,68";"0,00";"338,68"
"Suedseite - Bakery and Roastery";"55978";"2025-01-16";"EUR";"CASH";"380,54";"0,00";"380,54"
"Suedseite - Bakery and Roastery";"55978";"2025-01-16";"EUR";"SUMUP";"524,73";"0,00";"524,73"
"Suedseite - Bakery and Roastery";"55978";"2025-01-17";"EUR";"CASH";"488,80";"0,00";"488,80"
"Suedseite - Bakery and Roastery";"55978";"2025-01-17";"EUR";"SUMUP";"561,56";"0,00";"561,56"
"Suedseite - Bakery and Roastery";"55978";"2025-01-18";"EUR";"CASH";"424,30";"-15,10";"409,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-18";"EUR";"SUMUP";"961,30";"0,00";"961,30"
"Suedseite - Bakery and Roastery";"55978";"2025-01-19";"EUR";"CASH";"557,80";"0,00";"557,80"
"Suedseite - Bakery and Roastery";"55978";"2025-01-19";"EUR";"SUMUP";"942,58";"0,00";"942,58"
"Suedseite - Bakery and Roastery";"55978";"2025-01-21";"EUR";"CASH";"316,80";"0,00";"316,80"
"Suedseite - Bakery and Roastery";"55978";"2025-01-21";"EUR";"SUMUP";"494,64";"0,00";"494,64"
"Suedseite - Bakery and Roastery";"55978";"2025-01-22";"EUR";"CASH";"302,20";"-9,00";"293,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-22";"EUR";"SUMUP";"462,42";"0,00";"462,42"
"Suedseite - Bakery and Roastery";"55978";"2025-01-23";"EUR";"CASH";"285,70";"0,00";"285,70"
"Suedseite - Bakery and Roastery";"55978";"2025-01-23";"EUR";"SUMUP";"387,14";"0,00";"387,14"
"Suedseite - Bakery and Roastery";"55978";"2025-01-24";"EUR";"CASH";"360,26";"-13,10";"347,16"
"Suedseite - Bakery and Roastery";"55978";"2025-01-24";"EUR";"SUMUP";"669,03";"0,00";"669,03"
"Suedseite - Bakery and Roastery";"55978";"2025-01-25";"EUR";"CASH";"595,30";"-20,50";"574,80"
"Suedseite - Bakery and Roastery";"55978";"2025-01-25";"EUR";"SUMUP";"866,41";"0,00";"866,41"
"Suedseite - Bakery and Roastery";"55978";"2025-01-26";"EUR";"CASH";"454,00";"-12,20";"441,80"
"Suedseite - Bakery and Roastery";"55978";"2025-01-26";"EUR";"SUMUP";"945,26";"0,00";"945,26"
"Suedseite - Bakery and Roastery";"55978";"2025-01-28";"EUR";"CASH";"390,30";"0,00";"390,30"
"Suedseite - Bakery and Roastery";"55978";"2025-01-28";"EUR";"SUMUP";"564,31";"0,00";"564,31"
"Suedseite - Bakery and Roastery";"55978";"2025-01-29";"EUR";"CASH";"263,38";"0,00";"263,38"
"Suedseite - Bakery and Roastery";"55978";"2025-01-29";"EUR";"SUMUP";"350,73";"0,00";"350,73"
"Suedseite - Bakery and Roastery";"55978";"2025-01-30";"EUR";"CASH";"333,80";"-25,60";"308,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-30";"EUR";"SUMUP";"607,97";"0,00";"607,97"
"Suedseite - Bakery and Roastery";"55978";"2025-01-31";"EUR";"CASH";"407,20";"0,00";"407,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-31";"EUR";"SUMUP";"696,87";"0,00";"696,87"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01";"EUR";"CASH";"520,20";"0,00";"520,20"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01";"EUR";"SUMUP";"964,74";"0,00";"964,74"
"Suedseite - Bakery and Roastery";"55978";"2025-02-02";"EUR";"CASH";"686,20";"0,00";"686,20"
"Suedseite - Bakery and Roastery";"55978";"2025-02-02";"EUR";"SUMUP";"1212,60";"0,00";"1212,60"
"Suedseite - Bakery and Roastery";"55978";"2025-02-03";"EUR";"SUMUP";"14,90";"0,00";"14,90"
"Suedseite - Bakery and Roastery";"55978";"2025-02-04";"EUR";"CASH";"372,90";"0,00";"372,90"
