"Geschäft";"Geschäfts ID";"Datum";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"Betrag MwSt";"Gesamtrabatt";"Gesamt Stornos";"Gesamtrückerstattung (inkl. Steuer)";"Gesamtrückerstattung (ohne Steuer)";"Gesamt Zahlungen";"Gesamtausgaben";"Gesamtbetrag Kundenkonten";"Gesamtbetrag Trinkgeld"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"1424,34";"1294,64";"129,70";"1,98";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"1403,58";"1268,32";"135,26";"2,22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"1,40";"1,19";"0,21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"881,80";"809,31";"72,49";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"1132,50";"1029,67";"102,83";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-06";"EUR";"578,00";"521,39";"56,61";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-07";"EUR";"832,14";"755,48";"76,66";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"1572,83";"1425,75";"147,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-09";"EUR";"1698,78";"1520,98";"177,80";"19,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-11";"EUR";"752,10";"687,18";"64,92";"1,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-12";"EUR";"725,52";"660,33";"65,19";"1,40";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-13";"EUR";"907,25";"824,10";"83,15";"3,25";"3,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-14";"EUR";"966,23";"882,99";"83,24";"6,27";"10,90";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-15";"EUR";"1651,14";"1495,81";"155,33";"0,33";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-16";"EUR";"1322,30";"1188,59";"133,71";"11,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-18";"EUR";"875,80";"801,04";"74,76";"1,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-19";"EUR";"877,30";"793,35";"83,95";"3,10";"4,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-20";"EUR";"675,70";"613,03";"62,67";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-21";"EUR";"1197,30";"1082,39";"114,91";"3,00";"6,60";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-22";"EUR";"1204,15";"1094,07";"110,08";"3,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-23";"EUR";"1671,93";"1509,54";"162,39";"16,71";"4,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-25";"EUR";"756,32";"688,61";"67,71";"2,48";"8,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-26";"EUR";"889,57";"810,16";"79,41";"2,88";"4,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-27";"EUR";"819,08";"747,79";"71,29";"2,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
