"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01";"EUR";"0,07";"527,66";"564,80";"0,00";"0,00";"37,14"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01";"EUR";"0,19";"182,07";"216,60";"0,00";"0,00";"34,53"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02";"EUR";"0,07";"481,24";"515,04";"0,00";"0,00";"33,80"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02";"EUR";"0,19";"161,44";"192,12";"0,00";"0,00";"30,68"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03";"EUR";"0,07";"601,00";"643,27";"0,00";"0,00";"42,27"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03";"EUR";"0,19";"199,91";"237,90";"0,00";"0,00";"37,99"
"Suedseite - Bakery and Roastery";"55978";"2025-04-04";"EUR";"0,00";"-6,50";"-6,50";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-04";"EUR";"0,07";"802,66";"859,00";"0,00";"0,00";"56,34"
"Suedseite - Bakery and Roastery";"55978";"2025-04-04";"EUR";"0,19";"261,33";"311,00";"0,00";"0,00";"49,67"
"Suedseite - Bakery and Roastery";"55978";"2025-04-05";"EUR";"0,07";"1117,98";"1196,61";"0,00";"0,00";"78,63"
"Suedseite - Bakery and Roastery";"55978";"2025-04-05";"EUR";"0,19";"371,58";"442,16";"0,00";"0,00";"70,58"
"Suedseite - Bakery and Roastery";"55978";"2025-04-06";"EUR";"0,07";"898,13";"961,18";"11,87";"12,70";"62,22"
"Suedseite - Bakery and Roastery";"55978";"2025-04-06";"EUR";"0,19";"448,18";"533,30";"0,00";"0,00";"85,12"
"Suedseite - Bakery and Roastery";"55978";"2025-04-08";"EUR";"0,07";"553,58";"592,50";"9,53";"10,20";"38,25"
"Suedseite - Bakery and Roastery";"55978";"2025-04-08";"EUR";"0,19";"221,04";"263,00";"0,00";"0,00";"41,96"
"Suedseite - Bakery and Roastery";"55978";"2025-04-09";"EUR";"0,07";"515,06";"551,30";"0,00";"0,00";"36,24"
"Suedseite - Bakery and Roastery";"55978";"2025-04-09";"EUR";"0,19";"185,38";"220,60";"0,00";"0,00";"35,22"
"Suedseite - Bakery and Roastery";"55978";"2025-04-10";"EUR";"0,00";"30,00";"30,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-10";"EUR";"0,07";"591,91";"633,52";"0,00";"0,00";"41,61"
"Suedseite - Bakery and Roastery";"55978";"2025-04-10";"EUR";"0,19";"188,49";"224,30";"0,00";"0,00";"35,81"
"Suedseite - Bakery and Roastery";"55978";"2025-04-11";"EUR";"0,07";"746,68";"799,20";"3,27";"3,50";"52,29"
"Suedseite - Bakery and Roastery";"55978";"2025-04-11";"EUR";"0,19";"300,73";"357,80";"3,11";"3,70";"56,48"
"Suedseite - Bakery and Roastery";"55978";"2025-04-12";"EUR";"0,00";"30,00";"30,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-12";"EUR";"0,07";"996,58";"1066,65";"0,00";"0,00";"70,07"
"Suedseite - Bakery and Roastery";"55978";"2025-04-12";"EUR";"0,19";"353,92";"421,20";"0,00";"0,00";"67,28"
"Suedseite - Bakery and Roastery";"55978";"2025-04-13";"EUR";"0,00";"-44,00";"-44,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-13";"EUR";"0,07";"1078,99";"1154,80";"0,00";"0,00";"75,81"
"Suedseite - Bakery and Roastery";"55978";"2025-04-13";"EUR";"0,19";"508,02";"604,60";"0,00";"0,00";"96,58"
"Suedseite - Bakery and Roastery";"55978";"2025-04-15";"EUR";"0,07";"479,42";"513,12";"0,00";"0,00";"33,70"
"Suedseite - Bakery and Roastery";"55978";"2025-04-15";"EUR";"0,19";"162,39";"193,24";"0,00";"0,00";"30,85"
"Suedseite - Bakery and Roastery";"55978";"2025-04-16";"EUR";"0,07";"608,09";"650,90";"3,08";"3,30";"42,59"
"Suedseite - Bakery and Roastery";"55978";"2025-04-16";"EUR";"0,19";"229,92";"273,60";"9,83";"11,70";"41,81"
"Suedseite - Bakery and Roastery";"55978";"2025-04-17";"EUR";"0,07";"526,90";"563,91";"0,00";"0,00";"37,01"
