"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Trinkgeld-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,59"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"5,18"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,43"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,39"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,94"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"3,91"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,49"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,57"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"5,21"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"2,70"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,87"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,43"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,33"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,11"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,89"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,58"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,27"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,48"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"0,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,59"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,13"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"9,05"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,46"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"3,62"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,13"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"4,29"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"2,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,56"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"1,73"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"3,68"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,08"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,29"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,79"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,33"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,45"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,37"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"3,01"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,38"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,96"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,41"
