"Gewinn und Verlust";""
"Neckar Wave Foods";"Datum: 17.07.2025"
"Untere Neckarstrasse 24";"Zeitraum: 01.10.2024 - 31.12.2024"
"69117 Heidelberg";""
"";""
"Gewinn";"-22129,741214284"
"Umsatzsteuerpflichtige Betriebseinnahmen";"123367,56"
"nicht umsatzsteuerbare Betriebseinnahmen";"1294,03"
"Summe Betriebseinnahmen";"124661,59"
"Direkte Kosten";"109856,47"
"Wareneinkauf";"26336,43"
"Materialeinkauf";"17432,16"
"Gehälter";"613,03"
"Lohn / Gehalt";"42994,85"
"Krankenkasse";"20841,51"
"Pauschale Steuer für Aushilfen";"1437,89"
"Verrechnungskonto Gutscheine";"200,6"
"Indirekte Kosten";"31998,886"
"Miete / Pacht";"10095,2"
"Kontoführung / Kartengebühren";"1062,55"
"Sonstige Anschaffungen";"350,45"
"Benzin";"495,7"
"Software-Miete / Lizenzen";"1057,91"
"Inspektion/Reparatur";"1076,79"
"Marketing / Werbekosten";"276,55"
"Instandhaltung Räume / Gebäude";"6128,2"
"Porto";"81,13"
"Mahngebühren";"2,73"
"Bahn- / Flugticket, Mietwagen";"76,56"
"Strom, Wasser, Gas";"3067,49"
"Bürobedarf";"1114,73"
"Mobil";"8,39"
"Reinigung / Reinigungsmittel";"444,02"
"Dienstleister / Agenturen / Freelancer";"1445,99"
"Kauf einer Maschine";"994,97"
"Stellplatz/Garagenmiete";"120"
"Transport / Fracht";"2420,23"
"Nicht abzugsfähige Bewirtung 30%";"-13,854"
"Bewirtungskosten / Geschäftsessen";"119,21"
"Zeitschriften / Bücher";"126,28"
"Innungs- und Verbandsbeiträge";"435"
"Leasing/Mietwagen";"897,39"
" Übernachtungskosten / Frühstück";"86,05"
"Sonstige KFZ-Kosten";"20"
"Instandhaltung Maschinen";"9,22"
"Abschreibungen";"4935,9752142838"
"Kauf einer Maschine";"2933,32"
"Sonstige Anschaffungen";"1824,5"
"Bürobedarf";"178,14"
"Summe Betriebsausgaben";"146791,33121428"
